PO Number,Unique ID,Department,Account No.,Activity Detailed Description,Purchase Type,Supplier,Item Category,Total Approved,Actual Spent,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24
PO-000001,ECAE-PP-2025-1001,Facilities,419052,Training Service,Framework,Emirates Services,8012.1100 - Training Services,184886.77,184886.77,3553.44,14677.64,14795.3,19023.96,14879.47,29984.17,8976.59,26926.19,3091.63,18547.77,19977.79,23795.86
PO-000002,ECAE-PP-2025-1002,HR,411401,Training Service,Regular,GlobalTech,8012.1100 - Training Services,158495.07,158495.07,21055.15,12604.52,14434.85,15738.41,17642.29,23512.77,25151.75,24835.37,21382.67,23490.09,1311.67,22430.03
PO-000003,ECAE-PP-2025-1003,Finance,417276,Utilities,Regular,ABC Corp,8015.4400 - Utilities,115148.15,115148.15,11181.7,16502.84,6705.76,961.15,14390.74,4885.91,9101.23,4614.37,15873.0,18390.94,1055.97,4478.72
PO-000004,ECAE-PP-2025-1004,Facilities,415194,Training Service,Regular,GlobalTech,8012.1100 - Training Services,236950.18,236950.18,12066.95,26610.83,22210.86,33635.94,9541.6,1584.39,7188.42,13559.73,7094.88,3297.98,17587.17,26733.26
PO-000005,ECAE-PP-2025-1005,Facilities,419545,Consulting Service,Urgent,NextGen Solutions,8014.3300 - Consulting,216300.76,216300.76,25882.95,32309.09,27873.2,32800.35,15542.64,32597.25,22407.58,31365.37,1419.53,23715.66,30569.61,6280.01
PO-000006,ECAE-PP-2025-1006,HR,414277,Consulting Service,Urgent,ABC Corp,8014.3300 - Consulting,49811.32,49811.32,6161.85,4754.86,6342.44,580.27,4028.19,2687.95,7056.1,5875.99,7216.49,385.43,5984.19,4483.09
PO-000007,ECAE-PP-2025-1007,Finance,419340,IT Manpower Service,Regular,Emirates Services,8011.1600 - Outsourcing Services,238378.67,238378.67,39042.15,20934.78,33579.08,3383.62,21102.66,26972.55,22436.55,9166.49,2489.39,15362.28,25730.69,39400.54
PO-000008,ECAE-PP-2025-1008,HR,416178,Utilities,Regular,Emirates Services,8015.4400 - Utilities,179825.66,179825.66,7018.91,27984.96,8217.26,7798.88,9428.86,13861.24,555.44,17917.75,949.05,16160.41,13723.24,7269.36
PO-000009,ECAE-PP-2025-1009,Academic Services,413773,Training Service,Regular,GWA,8012.1100 - Training Services,118637.22,118637.22,7876.92,3304.81,18118.79,17731.99,19460.8,7957.53,16186.37,8204.83,8982.79,16411.47,3507.05,4356.18
PO-000010,ECAE-PP-2025-1010,Facilities,417612,Training Service,Framework,ABC Corp,8012.1100 - Training Services,121716.64,121716.64,5950.41,2845.27,14145.26,6519.34,16284.48,19713.18,886.2,20146.58,5154.79,8522.4,15777.38,13496.98
PO-000011,ECAE-PP-2025-1011,Facilities,417250,Utilities,Urgent,ABC Corp,8015.4400 - Utilities,248917.12,248917.12,12912.86,3306.45,29394.31,19042.85,23086.33,18892.84,36937.54,23180.2,38303.24,21181.82,12138.37,14745.96
PO-000012,ECAE-PP-2025-1012,Academic Services,414287,Training Service,Regular,NextGen Solutions,8012.1100 - Training Services,246432.39,246432.39,29296.11,7350.93,693.19,6563.26,15483.7,4379.03,8119.09,31404.78,31620.71,33575.93,34547.98,17268.17
PO-000013,ECAE-PP-2025-1013,Academic Services,414208,Maintenance Contract,Urgent,GWA,8013.2200 - Maintenance Services,119054.09,119054.09,3272.14,17671.05,19662.53,7083.2,5796.82,4340.93,16346.45,4151.17,18336.12,13241.8,17801.12,10992.86
PO-000014,ECAE-PP-2025-1014,Information Technology,416194,Maintenance Contract,Urgent,GWA,8013.2200 - Maintenance Services,213282.79,213282.79,20497.64,10287.96,7379.99,27176.92,33252.78,1877.09,4734.18,22827.09,28595.59,28124.49,25582.67,31545.52
PO-000015,ECAE-PP-2025-1015,HR,419206,IT Manpower Service,Framework,GlobalTech,8011.1600 - Outsourcing Services,216999.57,216999.57,32379.55,35240.08,29649.45,35901.84,12599.38,32396.42,11932.58,4269.04,22472.97,16455.39,33334.72,17800.98
PO-000016,ECAE-PP-2025-1016,Facilities,415109,Consulting Service,Framework,NextGen Solutions,8014.3300 - Consulting,194085.24,194085.24,30173.42,17135.62,25948.94,18630.66,30985.88,11950.98,1845.44,25252.7,22819.78,17064.44,10557.95,6089.91
