PERIOD_NAME,PERIOD_YEAR,QUATER,PERIOD_NUM,MONTH_NAME,budegt_CHAPTER,JTRANSACTION_DATE,ACTUAL_FLAG,DR,CR,ANNUAL_BUDGET,ADJUSTMENT_BUDGET,REVISED_BUDGET,ACTUAL_AMOUNT,FUND_AVAILABLE,ENCUMBRANCE_AMOUNT,ENTITY_CODE,ENTITY_DESCRIPTION,DIRECTORATE,COST_CENTER_CODE,COST_CENTER_DESCRIPTION,BUDGET_GROUP_CODE,BUDGET_GROUP_DESCRIPTION,ACCOUNT_CODE,ACCOUNT_DESCRIPTION,ACTIVITY_CODE,ACTIVITY_DESCRIPTION,FUTURE1,FUTURE1_DESCRIPTION,FUTURE2,FUTURE2_DESCRIPTION,ACCOUNT_TYPE,LEDGER_NAME,ACCOUNTED_DR,ACCOUNTED_CR,ADDITION_BUDGET,TRANSFER_BUDGET,GL_CODE
Jul,2023,Q3,7,Jul,Manpower,2024-09-27,Y,77969.1,59685.02,278333.1,4998.75,283331.85,130119.84,102083.83999999997,51128.17,E971,Entity E971,DVC-Support Services,8450261,Cost Center 8450261,BG230,Budget Group BG230,A2685,Office Supplies,ACT408,Activity ACT408,F1-11,Future 1 F1-11,F2-97,Future 2 F2-97,Revenue,Project Ledger,77969.1,59685.02,6370.17,5454.75,E971-BG230-8450261-A2685-F1-11-F2-97
Jan,2024,Q1,1,Jan,Operational,2024-01-22,Y,43194.5,29122.91,344741.16,6974.69,351715.85,102751.9,157753.06,91210.89,E289,Entity E289,DVC-Support Services,8450284,Cost Center 8450284,BG662,Budget Group BG662,A2899,Office Supplies,ACT666,Activity ACT666,F1-73,Future 1 F1-73,F2-12,Future 2 F2-12,Expense,General Ledger,43194.5,29122.91,20409.23,13514.98,E289-BG662-8450284-A2899-F1-73-F2-12
Apr,2023,Q2,4,Apr,Manpower,2024-11-11,N,80839.73,30461.38,139068.85,34211.65,173280.5,76269.84,85171.65000000001,11839.01,E608,Entity E608,DVC-Academic,8450373,Cost Center 8450373,BG134,Budget Group BG134,A4152,Travel Expenses,ACT661,Activity ACT661,F1-13,Future 1 F1-13,F2-11,Future 2 F2-11,Revenue,Project Ledger,80839.73,30461.38,6238.25,17031.01,E608-BG134-8450373-A4152-F1-13-F2-11
Feb,2024,Q1,2,Feb,Manpower,2024-02-13,N,39515.02,92665.89,390908.8,16327.04,407235.83999999997,232305.23,83820.75999999995,91109.85,E801,Entity E801,,8450405,Cost Center 8450405,BG824,Budget Group BG824,A7863,Training and Development,ACT848,Activity ACT848,F1-91,Future 1 F1-91,F2-62,Future 2 F2-62,Revenue,Project Ledger,39515.02,92665.89,28957.66,18211.03,E801-BG824-8450405-A7863-F1-91-F2-62
Sep,2023,Q3,9,Sep,Capital,2024-01-15,Y,7455.06,98688.69,408897.91,9935.78,418833.69,2312.85,76864.16000000003,339656.68,E692,Entity E692,DVC-Support Services,8450272,Cost Center 8450272,BG518,Budget Group BG518,A6892,Maintenance Costs,ACT589,Activity ACT589,F1-50,Future 1 F1-50,F2-37,Future 2 F2-37,Expense,General Ledger,7455.06,98688.69,18698.94,9926.94,E692-BG518-8450272-A6892-F1-50-F2-37
Jul,2024,Q3,7,Jul,Manpower,2024-08-03,Y,72960.62,63755.75,454885.1,23610.75,478495.85,57225.35,120801.51000000001,300468.99,E868,Entity E868,VC Office,8450114,Cost Center 8450114,BG317,Budget Group BG317,A1502,Salary and Wages,ACT866,Activity ACT866,F1-23,Future 1 F1-23,F2-36,Future 2 F2-36,Expense,General Ledger,72960.62,63755.75,12826.23,762.57,E868-BG317-8450114-A1502-F1-23-F2-36
Mar,2025,Q1,3,Mar,Operational,2024-12-17,Y,47537.02,56327.56,378206.43,6966.57,385173.0,232805.26,70113.37,82254.37,E640,Entity E640,VC Office,8450145,Cost Center 8450145,BG624,Budget Group BG624,A4157,Travel Expenses,ACT895,Activity ACT895,F1-75,Future 1 F1-75,F2-51,Future 2 F2-51,Expense,Project Ledger,47537.02,56327.56,19002.11,26143.82,E640-BG624-8450145-A4157-F1-75-F2-51
Nov,2024,Q4,11,Nov,Capital,2024-12-13,Y,31800.35,11005.19,191174.07,21355.39,212529.46000000002,173852.24,5386.550000000047,33290.67,E458,Entity E458,,8450307,Cost Center 8450307,BG555,Budget Group BG555,A6530,Maintenance Costs,ACT748,Activity ACT748,F1-71,Future 1 F1-71,F2-46,Future 2 F2-46,Expense,General Ledger,31800.35,11005.19,8082.37,7323.77,E458-BG555-8450307-A6530-F1-71-F2-46
Jun,2023,Q2,6,Jun,Operational,2024-06-28,Y,6489.22,25391.54,198750.43,34815.21,233565.63999999998,166361.94,57251.70999999999,9951.99,E180,Entity E180,DVC-Support Services,8450296,Cost Center 8450296,BG212,Budget Group BG212,A5737,Consultancy Services,ACT319,Activity ACT319,F1-63,Future 1 F1-63,F2-96,Future 2 F2-96,Expense,Project Ledger,6489.22,25391.54,27247.98,7186.86,E180-BG212-8450296-A5737-F1-63-F2-96
May,2024,Q2,5,May,Capital,2024-06-08,N,24205.53,67213.55,404647.85,11881.88,416529.73,303323.76,71570.71999999997,41635.25,E983,Entity E983,,8450207,Cost Center 8450207,BG297,Budget Group BG297,A8125,Utilities,ACT610,Activity ACT610,F1-25,Future 1 F1-25,F2-82,Future 2 F2-82,Revenue,General Ledger,24205.53,67213.55,5595.56,1223.25,E983-BG297-8450207-A8125-F1-25-F2-82
