Unique ID,Department,Account No.,Activity Detailed Description,Purchase Type,Supplier,Required Contract Creation?,SLA (Working Days),Assigned Buyer,Item Category,Initial Approved Budget,Revised Approved Budget,Budget Used,Balance,PR Processing Month,PR/PO Status,PR/PO budget used Not paid,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Total AED,Amount Check,Remarks,Department (Repeat)
ECAE-PP-2025-1001,Facilities,419052,Training Service,Framework,Emirates Services,Yes,23,Sarah,8012.1100 - Training Services,193925.31,184886.77,161270.14,23616.629999999976,02-Nov-24,Planned,,3553.44,14677.64,14795.3,19023.96,14879.47,29984.17,8976.59,26926.19,3091.63,18547.77,19977.79,23795.86,198229.81,-,,Facilities
ECAE-PP-2025-1001,Facilities,419052,Training Service,Framework,Emirates Services,Yes,23,Sarah,8012.1100 - Training Services,193925.31,184886.77,184886.77,0.0,02-Nov-24,Spent,,3553.44,14677.64,14795.3,19023.96,14879.47,29984.17,8976.59,26926.19,3091.63,18547.77,19977.79,23795.86,198229.81,-,,Facilities
ECAE-PP-2025-1002,HR,411401,Training Service,Regular,GlobalTech,Yes,22,Fatima,8012.1100 - Training Services,155993.66,158495.07,133947.66,24547.410000000003,25-Feb-24,Planned,,21055.15,12604.52,14434.85,15738.41,17642.29,23512.77,25151.75,24835.37,21382.67,23490.09,1311.67,22430.03,223589.57000000004,-,,HR
ECAE-PP-2025-1002,HR,411401,Training Service,Regular,GlobalTech,Yes,22,Fatima,8012.1100 - Training Services,155993.66,158495.07,158495.07,0.0,25-Feb-24,Spent,,21055.15,12604.52,14434.85,15738.41,17642.29,23512.77,25151.75,24835.37,21382.67,23490.09,1311.67,22430.03,223589.57000000004,-,,HR
ECAE-PP-2025-1003,Finance,417276,Utilities,Regular,ABC Corp,Yes,55,Sarah,8015.4400 - Utilities,110071.96,115148.15000000001,8508.54,106639.61000000002,24-Sep-24,Planned,,11181.7,16502.84,6705.76,961.15,14390.74,4885.91,9101.23,4614.37,15873.0,18390.94,1055.97,4478.72,108142.33,-,,Finance
ECAE-PP-2025-1003,Finance,417276,Utilities,Regular,ABC Corp,Yes,55,Sarah,8015.4400 - Utilities,110071.96,115148.15000000001,115148.15000000001,0.0,24-Sep-24,Spent,,11181.7,16502.84,6705.76,961.15,14390.74,4885.91,9101.23,4614.37,15873.0,18390.94,1055.97,4478.72,108142.33,-,,Finance
ECAE-PP-2025-1004,Facilities,415194,Training Service,Regular,GlobalTech,Yes,28,Sarah,8012.1100 - Training Services,228123.37,236950.18,117478.1,119472.07999999999,17-Sep-24,Planned,,12066.95,26610.83,22210.86,33635.94,9541.6,1584.39,7188.42,13559.73,7094.88,3297.98,17587.17,26733.26,181112.01,-,,Facilities
ECAE-PP-2025-1004,Facilities,415194,Training Service,Regular,GlobalTech,Yes,28,Sarah,8012.1100 - Training Services,228123.37,236950.18,236950.18,0.0,17-Sep-24,Spent,,12066.95,26610.83,22210.86,33635.94,9541.6,1584.39,7188.42,13559.73,7094.88,3297.98,17587.17,26733.26,181112.01,-,,Facilities
ECAE-PP-2025-1005,Facilities,419545,Consulting Service,Urgent,NextGen Solutions,No,56,John,8014.3300 - Consulting,206953.24,216300.75999999998,190448.63,25852.129999999976,01-Sep-24,Planned,,25882.95,32309.09,27873.2,32800.35,15542.64,32597.25,22407.58,31365.37,1419.53,23715.66,30569.61,6280.01,282763.24,-,,Facilities
ECAE-PP-2025-1005,Facilities,419545,Consulting Service,Urgent,NextGen Solutions,No,56,John,8014.3300 - Consulting,206953.24,216300.75999999998,216300.75999999998,0.0,01-Sep-24,Spent,,25882.95,32309.09,27873.2,32800.35,15542.64,32597.25,22407.58,31365.37,1419.53,23715.66,30569.61,6280.01,282763.24,-,,Facilities
